filename,title,date,year,month,day
1998-05-25-FamilienfreundlicheEkstase60.txt,FamilienfreundlicheEkstase60.txt,1998-05-25,1998,05,25
1998-05-27-JammertanzumdenAtommeiler.txt,JammertanzumdenAtommeiler.txt,1998-05-27,1998,05,27
1998-06-05-DieStorfaellenehmenkeinEnd.txt,DieStorfaellenehmenkeinEnd.txt,1998-06-05,1998,06,05
1998-06-09-EineziemlichschlechteAusstr.txt,EineziemlichschlechteAusstr.txt,1998-06-09,1998,06,09
1998-06-09-FehlinvestitionenundPreisabs.txt,FehlinvestitionenundPreisabs.txt,1998-06-09,1998,06,09
1998-07-16-DieProminenzfeiertdasWund.txt,DieProminenzfeiertdasWund.txt,1998-07-16,1998,07,16
1998-07-16-VonderWAAzumIndustriepark.txt,VonderWAAzumIndustriepark.txt,1998-07-16,1998,07,16
1998-07-17-AutoherstellereroffnetInnova.txt,AutoherstellereroffnetInnova.txt,1998-07-17,1998,07,17
1998-07-30-AuferstandenausWAARuinen.txt,AuferstandenausWAARuinen.txt,1998-07-30,1998,07,30
1998-08-08-SiebenBierundAluminiumgeldfu.txt,SiebenBierundAluminiumgeldfu.txt,1998-08-08,1998,08,08
1998-09-16-RuthPauligziehtdasMandatde.txt,RuthPauligziehtdasMandatde.txt,1998-09-16,1998,09,16
1998-10-17-HansSchuiererfreutsich.txt,HansSchuiererfreutsich.txt,1998-10-17,1998,10,17
1998-10-20-ImProfilWernerMuellerdesig.txt,ImProfilWernerMuellerdesig.txt,1998-10-20,1998,10,20
1998-11-07-StrahlenderAnfangSamstag.txt,StrahlenderAnfangSamstag.txt,1998-11-07,1998,11,07
1998-11-10-EinHauchvonKreuthbeimBund.txt,EinHauchvonKreuthbeimBund.txt,1998-11-10,1998,11,10
1998-11-18-KoalitionsvertraggehtAerzten.txt,KoalitionsvertraggehtAerzten.txt,1998-11-18,1998,11,18
1998-11-20-HymnischerAbgesangaufeinzig.txt,HymnischerAbgesangaufeinzig.txt,1998-11-20,1998,11,20
1998-12-23-ZastermanndrohtederBahnu.txt,ZastermanndrohtederBahnu.txt,1998-12-23,1998,12,23
1998-12-28-AufderLichtungwachsenBuech.txt,AufderLichtungwachsenBuech.txt,1998-12-28,1998,12,28
1998-12-31-ExotischesausdemLandderBay.txt,ExotischesausdemLandderBay.txt,1998-12-31,1998,12,31
1999-01-08-TurbinchenfuerdieAndenundd.txt,TurbinchenfuerdieAndenundd.txt,1999-01-08,1999,01,08
1999-01-15-RadioaktiverMuellalsWirtsch.txt,RadioaktiverMuellalsWirtsch.txt,1999-01-15,1999,01,15
1999-01-15-RadioaktiverMuellalsWirtscha.txt,RadioaktiverMuellalsWirtscha.txt,1999-01-15,1999,01,15
1999-06-05-DasWundervonWackersdorfVor.txt,DasWundervonWackersdorfVor.txt,1999-06-05,1999,06,05
2001-01-05-JoschkaichwarauchmalRevo.txt,JoschkaichwarauchmalRevo.txt,2001-01-05,2001,01,05
2001-03-28-ReliktausfroehlicherAtomzei.txt,ReliktausfroehlicherAtomzei.txt,2001-03-28,2001,03,28
2001-03-29-ProtestekoennenauchfuerDem.txt,ProtestekoennenauchfuerDem.txt,2001-03-29,2001,03,29
2001-04-09-Strassemusssein.txt,Strassemusssein.txt,2001-04-09,2001,04,09
2001-05-12-UnterBayern.txt,UnterBayern.txt,2001-05-12,2001,05,12
2001-06-13-DerKKomplex.txt,DerKKomplex.txt,2001-06-13,2001,06,13
2001-07-18-IhrG8wir6000000000.txt,IhrG8wir6000000000.txt,2001-07-18,2001,07,18
2001-08-01-OstbayernAutobahnnach70Jah.txt,OstbayernAutobahnnach70Jah.txt,2001-08-01,2001,08,01
2001-08-29-DerVWKaeferDaswardieBRD.txt,DerVWKaeferDaswardieBRD.txt,2001-08-29,2001,08,29
2001-09-08-VomJungAnarchistenzumFreid.txt,VomJungAnarchistenzumFreid.txt,2001-09-08,2001,09,08
2001-10-02-DonauausbaufuerGrueneeinne.txt,DonauausbaufuerGrueneeinne.txt,2001-10-02,2001,10,02
2001-10-24-DonauAusbauentzweitGrueneu.txt,DonauAusbauentzweitGrueneu.txt,2001-10-24,2001,10,24
2001-10-24-DonauAusbauentzweitGrüneund.txt,DonauAusbauentzweitGrüneund.txt,2001-10-24,2001,10,24
2001-11-10-KontrolleureohneKontrolle.txt,KontrolleureohneKontrolle.txt,2001-11-10,2001,11,10
2001-12-20-KettenReaktionKarlsruheBl.txt,KettenReaktionKarlsruheBl.txt,2001-12-20,2001,12,20
2002-02-02-JenseitsderGemütlichkeitDe.txt,JenseitsderGemütlichkeitDe.txt,2002-02-02,2002,02,02
2002-04-19-BayernsMisterUmweltgehtNa.txt,BayernsMisterUmweltgehtNa.txt,2002-04-19,2002,04,19
2002-04-23-ImabsolutenThemenparkverbot.txt,ImabsolutenThemenparkverbot.txt,2002-04-23,2002,04,23
2003-03-13-NimmermüderVolksheldDerein.txt,NimmermüderVolksheldDerein.txt,2003-03-13,2003,03,13
2003-03-28-KommzuunsÜberdieÄsthetik.txt,KommzuunsÜberdieÄsthetik.txt,2003-03-28,2003,03,28
2003-11-12-DerlangeAbschiedderaltenK.txt,DerlangeAbschiedderaltenK.txt,2003-11-12,2003,11,12
2003-12-01-MidlifeBluesWerfrüherjung.txt,MidlifeBluesWerfrüherjung.txt,2003-12-01,2003,12,01
2003-12-09-GrünebeugensichdemDruckde.txt,GrünebeugensichdemDruckde.txt,2003-12-09,2003,12,09
2004-02-28-WiderstanddurchalleInstanze.txt,WiderstanddurchalleInstanze.txt,2004-02-28,2004,02,28
2004-06-16-PlutoniumaufReisenSeitJah.txt,PlutoniumaufReisenSeitJah.txt,2004-06-16,2004,06,16
2004-07-02-AtomGegnerfeierninWackersd.txt,AtomGegnerfeierninWackersd.txt,2004-07-02,2004,07,02
2004-07-03-BefreitvomWirGefühlTheate.txt,BefreitvomWirGefühlTheate.txt,2004-07-03,2004,07,03
2004-07-10-LobbyistendesVorgartensSie.txt,LobbyistendesVorgartensSie.txt,2004-07-10,2004,07,10
